MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEXBUS,197701,.057875,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197702,.082856,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197703,.091564,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197704,.150129,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197705,.152837,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197706,.160483,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197707,.138634,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197708,.115059,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197709,.136218,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197710,.130908,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197711,.121218,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197712,.104095,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197713,1.441875,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197801,.023715,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197802,.015605,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197803,.010011,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197804,.069249,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197805,.118514,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197806,.143844,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197807,.094685,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197808,.096262,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197809,.091512,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197810,.133835,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197811,.159672,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197812,.121124,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197813,1.078028,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197901,.095757,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197902,.072422,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197903,.123301,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197904,.139935,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197905,.165057,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197906,.158705,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197907,.167239,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197908,.165911,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197909,.13664,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197910,.197723,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197911,.163875,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197912,.166711,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197913,1.753277,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198001,.117686,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198002,.106608,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198003,.148627,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198004,.199529,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198005,.226811,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198006,.234795,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198007,.217599,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198008,.244568,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198009,.220682,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198010,.249435,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198011,.237098,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198012,.21708,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198013,2.420518,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198101,.151593,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198102,.177128,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198103,.254017,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198104,.216368,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198105,.159197,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198106,.161088,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198107,.281551,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198108,.29601,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198109,.311293,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198110,.323335,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198111,.30997,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198112,.30252,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198113,2.944069,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198201,.161968,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198202,.235078,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198203,.273329,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198204,.284029,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198205,.265107,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198206,.280057,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198207,.240769,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198208,.193654,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198209,.227689,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198210,.261492,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198211,.204724,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198212,.159004,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198213,2.786901,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198301,.117543,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198302,.115196,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198303,.165408,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198304,.160757,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198305,.182763,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198306,.191368,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198307,.161434,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198308,.220308,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198309,.197836,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198310,.213775,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198311,.153488,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198312,.164826,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198313,2.044701,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198401,.133643,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198402,.112236,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198403,.153463,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198404,.202988,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198405,.21705,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198406,.206673,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198407,.219607,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198408,.217432,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198409,.229958,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198410,.175336,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198411,.110633,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198412,.172289,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198413,2.151306,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198501,.153025,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198502,.15864,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198503,.176163,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198504,.185852,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198505,.242828,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198506,.208155,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198507,.192404,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198508,.274171,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198509,.212963,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198510,.230017,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198511,.213972,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198512,.189939,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198513,2.438129,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198601,.156047,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198602,.13561,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198603,.161741,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198604,.218289,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198605,.224654,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198606,.192526,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198607,.204546,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198608,.202923,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198609,.215313,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198610,.189425,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198611,.175529,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198612,.171833,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198613,2.248436,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198701,.143828,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198702,.122064,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198703,.1699,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198704,.163755,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198705,.172379,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198706,.19266,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198707,.1738,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198708,.203954,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198709,.175237,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198710,.174382,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198711,.189568,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198712,.211427,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198713,2.092954,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198801,.116604,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198802,.117874,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198803,.187908,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198804,.235185,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198805,.207886,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198806,.211781,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198807,.218372,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198808,.245154,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198809,.264715,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198810,.236949,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198811,.21928,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198812,.237303,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198813,2.49901,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198901,.164958,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198902,.176531,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198903,.219087,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198904,.238153,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198905,.25335,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198906,.252631,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198907,.162419,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198908,.212461,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198909,.252731,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198910,.243093,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198911,.255542,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198912,.206356,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,198913,2.637312,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199001,.195132,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199002,.163575,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199003,.22777,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199004,.225077,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199005,.257495,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199006,.244086,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199007,.240896,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199008,.263719,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199009,.268267,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199010,.229437,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199011,.252094,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199012,.204725,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199013,2.772273,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199101,.162733,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199102,.21282,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199103,.208909,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199104,.181154,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199105,.262355,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199106,.242983,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199107,.264473,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199108,.276054,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199109,.276465,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199110,.242088,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199111,.277647,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199112,.245989,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199113,2.85367,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199201,.224717,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199202,.202973,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199203,.219298,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199204,.225414,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199205,.248073,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199206,.233124,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199207,.250404,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199208,.198957,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199209,.243406,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199210,.194715,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199211,.22806,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199212,.212784,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199213,2.681926,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199301,.171337,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199302,.176845,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199303,.148753,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199304,.138723,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199305,.159591,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199306,.226971,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199307,.173089,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199308,.153532,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199309,.161163,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199310,.170778,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199311,.132169,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199312,.149515,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199313,1.962467,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199401,.124563,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199402,.111952,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199403,.155189,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199404,.131013,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199405,.140236,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199406,.201084,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199407,.154858,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199408,.175607,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199409,.188317,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199410,.160864,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199411,.160547,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199412,.174572,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199413,1.878801,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199501,.161906,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199502,.151176,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199503,.184021,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199504,.188811,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199505,.210392,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199506,.207746,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199507,.173632,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199508,.197147,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199509,.20975,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199510,.204815,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199511,.196203,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199512,.232569,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199513,2.318168,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199601,.176504,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199602,.180402,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199603,.180071,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199604,.191859,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199605,.200567,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199606,.2106,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199607,.206184,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199608,.193999,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199609,.215006,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199610,.211411,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199611,.208751,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199612,.192679,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199613,2.368031,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199701,.191575,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199702,.151666,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199703,.18207,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199704,.174758,"1","Coal Exports","Quadrillion Btu"
