MSN,YYYYMM,Value,Column_Order,Description,Unit
CLIMBUS,197702,.001875,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197703,.000775,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197704,.00425,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197705,.00235,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197706,.0023,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197707,.0028,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197708,.0025,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197709,.004375,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197710,.00685,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197711,.00425,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197712,.005775,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197713,.041175,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197801,.003475,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197802,.003975,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197803,.005775,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197804,.010425,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197805,.008075,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197806,.007275,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197807,.007825,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197808,.005675,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197809,.0049,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197810,.009275,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197811,.00245,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197812,.0047,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197813,.073825,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197901,.00465,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197902,.006311,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197903,.003074,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197904,.004028,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197905,.002791,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197906,.005224,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197907,.002204,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197908,.008001,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197909,.00449,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197910,.003792,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197911,.003255,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197912,.003654,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197913,.051474,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198001,.003017,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198002,.004834,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198003,.002326,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198004,.001581,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198005,.005177,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198006,.002601,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198007,.000798,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198008,.004142,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198009,.000057,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198010,.003487,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198011,.000067,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198012,.001753,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198013,.02984,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198101,.000884,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198102,.002602,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198103,.001914,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198104,.001564,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198105,.002413,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198106,.003462,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198107,.000321,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198108,.003762,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198109,.001728,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198110,.002349,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198111,.001899,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198112,.003184,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198113,.026084,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198201,.001784,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198202,.000758,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198203,.000298,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198204,.00026,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198205,.002732,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198206,.000214,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198207,.001728,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198208,.003269,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198209,.001766,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198210,.001656,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198211,.002184,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198212,.001912,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198213,.018561,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198301,.001961,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198302,.001773,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198303,.002992,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198304,.003604,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198305,.002552,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198306,.003321,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198307,.002185,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198308,.002872,"1","Coal Imports","Quadrillion Btu"
